"Rank","name","value"
1,lbernick,3506
2,vdemeester,3072
3,abayer,3016
4,vinamra28,2734
5,afrittoli,2297
6,yongxuanzhang,2262
7,jerop,2208
8,dibyom,1943
9,piyush-garg,1610
10,jeromeju,1435
11,wlynch,1392
12,chitrangpatel,1299
13,chuangw6,1291
14,pritidesai,1106
15,alangreene,1014
16,xinruzhang,988
17,puneetpunamiya,702
18,ywluogg,697
19,khrm,590
20,sm43,541
21,nikhil-thomas,529
22,savitaashture,467
23,quanzhang-william,425
24,priyawadhwa,392
25,bendory,388
26,austinzhao-go,373
27,pratap0007,354
28,concaf,347
29,jagathprakash,338
30,lcarva,313
31,geriom,309
32,pradeepitm12,306
33,adambkaplan,296
34,bobcatfish,292
35,imjasonh,282
36,chmouel,260
37,sbwsg,258
38,briangleeson,252
39,vsinghai,226
40,pxp928,201
41,mattmoor,154
42,alan-ghelardi,135
43,yuzp1996,124
44,chengjoey,116
45,useurmind,113
46,arhell,88
47,developer-guy,86
48,bcaton85,82
49,rupalibehera,77
50,enarha,69
51,jbpratt,68
52,sayan-biswas,68
53,marniks7,67
54,startxfr,64
55,lumjjb,63
56,avinal,60
57,basavaraju-g,54
58,tomcli,53
59,jkandasa,50
60,skaegi,50
61,zroubalik,48
62,waveywaves,48
63,aleromerog,47
64,scrapcodes,47
65,cugykw,46
66,nagasree9,42
67,jimmyjones2,40
68,waterstraal,38
69,dlbewley,38
70,emmamunley,37
71,vaikas,36
72,akhil97,36
73,my-git9,35
74,sudo-bmitch,35
75,06kellyjac,32
76,nistal97,31
77,williamlfish,30
78,alhuizenga,30
79,bradbeck,29
80,jpmaida,29
81,rgreinho,29
82,rafaeleal,27
83,gijsvandulmen,25
84,gerrnot,25
85,xchapter7x,24
86,lyndseybu,24
87,michaelsauter,23
88,jacksgt,23
89,kcloutie,23
90,billbensing,23
91,arunvel1988,22
92,prietyc123,22
93,jkomoda,22
94,cathaloconnorrh,22
95,rafalbigaj,21
96,kerthcet,20
97,saschaschwarze0,20
98,digglife,20
99,adshmh,19
100,spikeburton,18
101,mike-serchenia,18
102,gsgs-libin,17
103,seunggs,17
104,ibotty,17
105,hokadiri,17
106,devholic,17
107,taechonkim,16
108,ijschwabacher,16
109,dprotaso,15
110,frerikandriessen,15
111,quant-daddy,15
112,spstarr,15
113,tlawrie,15
114,binkkatal,14
115,t0masd,14
116,jlozano-rh,14
117,jtudelag,14
118,zeromsi,14
119,kmjayadeep,14
120,mtcolman,14
121,keskad,13
122,yselkowitz,13
123,mswiderski,13
124,joeyslalom,13
125,manojbison,12
126,andrienkoaleksandr,12
127,linmuqin,12
128,jmcshane,12
129,georgettica,12
130,hworblehat,12
131,karthikjeeyar,11
132,seongpyohong,11
133,fabian-k,11
134,kad-vriese1,11
135,programcpp,11
136,lookis,11
137,ilan-pinto,11
138,danielhelfand,11
139,cleverhu,11
140,kabhiibm,11
141,tomkennedy513,10
142,0xfelix,10
143,koraytugay,10
144,edmooney,10
145,aeronotix,10
146,r67yfyt,10
147,dlorenc,10
148,joejstuart,10
149,rpajay,9
150,spotlesstofu,9
151,sellitforcache,9
152,divyansh42,9
153,ak1394,9
154,kaushalnavneet,9
155,drriguz,8
156,vovtz,8
157,chrisjburns,8
158,udiknedormin,8
159,g0194776,8
160,hillbun,8
161,tonyhsuclrous,8
162,bigkevmcd,8
163,yhil,8
164,michaelsatish,8
165,thomascube,7
166,mestredelpino,7
167,aceeric,7
168,treyhyde,7
169,chases2,7
170,perithompson,7
171,simonbaird,7
172,jpace121,7
173,freegroup,7
174,veeresharadhya,7
175,ppitonak,7
176,crshnburn,7
177,guhaneswaran,7
178,arturfortunato,7
179,chabeezy,7
180,rouke-broersma,7
181,yachna,6
182,acornett21,6
183,the-it-jaeger,6
184,jbg,6
185,balainit,6
186,deepio,6
187,faraaaaaaaaaaaa,6
188,darktempla,6
189,sel,6
190,usernameisnull,6
191,nadgowdas,6
192,zregvart,6
193,khensel17,6
194,rezaebrahimi1,6
195,sivachandran-s,5
196,bitsofinfo,5
197,aathirajan,5
198,chaosinthecrd,5
199,juneezee,5
200,ramessesii2,5
201,yinheli,5
202,avinashupadhya99,5
203,ben-mark,5
204,wilstdu,5
205,bigspotteddog,5
206,linuxsuren,5
207,aiden-deloryn,5
208,miles-garnsey,5
209,joaosilva15,5
210,rremella,5
211,sel-vcc,5
212,msvticket,5
213,timonwong,5
214,ankuo,5
215,protosam,5
216,kyubisation,5
217,chengjingtao,5
218,jasperjonker,5
219,tomonight,5
220,janisz,5
221,r0bj,5
222,yablargo,5
223,stevenacoffman,4
224,ezyakaeagle442,4
225,cardil,4
226,pierretasci,4
227,95rade,4
228,mitulsharma123,4
229,stuartwdouglas,4
230,dsekhart,4
231,jfuerneisen,4
232,allure996,4
233,lilyholms,4
234,tomhart,4
235,shibumi,4
236,pietervincken,4
237,anthr76,4
238,cameronhudson8,4
239,nickzelei,4
240,newmanj1987,4
241,abirdcfly,4
242,colinodell,4
243,realschoki,4
244,godsin,4
245,drewbailey,4
246,pavanstarmanwar,4
247,chenbh,4
248,jeffmaury,4
249,mrmyhuang,4
250,siddhesh-ghadi,4
251,emenaceb,4
252,transmitt0r,4
253,aellwein,4
254,snehakpersistent,4
255,jhonis,4
256,ragnaros2046,4
257,srisek,4
258,rong280,3
259,jefftree,3
260,kplimack,3
261,jromero,3
262,sagaraivale,3
263,palladius,3
264,oldthreefeng,3
265,letty5411,3
266,oxr463,3
267,email2smohanty,3
268,ryancastle,3
269,migeorge,3
270,yeroha,3
271,jwitrick,3
272,shirouto,3
273,hhemied,3
274,surferjeffatgoogle,3
275,hectorj2f,3
276,olegy2008,3
277,konnta0,3
278,freefood89,3
279,githubcdr,3
280,jbeuckm,3
281,infosec812,3
282,bluecog,3
283,wang-kk714,3
284,elkasitu,3
285,jgreenbow-userful,3
286,raffamendes,3
287,aruiz14,3
288,anu-kailash,3
289,sebastiangaiser,3
290,tmds,3
291,sergio-tarazona,3
292,whhx,3
293,cjcshadowsan,3
294,fgiloux,3
295,haf-tech,3
296,itewk,3
297,epsilon314,3
298,shuheiktgw,3
299,odyhunter,3
300,tonygilkerson,3
301,du2016,3
302,jjuarez,3
303,ben-wangz,3
304,k4leung4,3
305,gyliu513,3
306,christianvogt,3
307,startx-lab,3
308,peterbosalliandercom,3
309,rockheadjr,3
310,qingchuwudi,3
311,octoella,3
312,sbose78,3
313,romanthelegend,3
314,lsdbitrue,3
315,tianxiangshen,3
316,cooktheryan,3
317,honkinggoose,3
318,marco210,3
319,adelmoradian,3
320,arthurvardevanyan,3
321,ggalloro,3
322,hakuna-matatah,3
323,dgeorgievski,3
324,omer2500,3
325,gnunn1,3
326,pst,3
327,willisc7,3
328,pawelkopka,3
329,qaifshaikh,3
330,fantasyair,3
331,sergk,3
332,simonlaw0711,3
333,sufyanbnk,3
334,mlieberman85,3
335,kywa,2
336,gujiwork,2
337,typeness,2
338,alanjjenkins,2
339,mrobson,2
340,faust64,2
341,v1nc3nt27,2
342,dudash,2
343,darkprisco,2
344,camperjett,2
345,lukehinds,2
346,hrbust-liu,2
347,patrick800711,2
348,wuhuizuo,2
349,dev-ashank,2
350,joshuasimon-taulia,2
351,justinabrahms,2
352,shenqinb-star,2
353,liangyuanpeng,2
354,haydentherapper,2
355,lucifergene,2
356,naphatkrit,2
357,aksth,2
358,utkarshchaurasia,2
359,znqerz,2
360,soukainakhalkhouli,2
361,danielfbm,2
362,gnometsunami,2
363,vedantshetty,2
364,tsingshen,2
365,dbazhal,2
366,sbtest,2
367,sir997,2
368,mbwhite,2
369,spencerrung,2
370,kaos,2
371,wsszh,2
372,dentrax,2
373,jczz,2
374,gabemontero,2
375,debuggerpk,2
376,vicpadilla,2
377,chobostar,2
378,ileixe,2
379,simonwaldherr,2
380,cp-samantha,2
381,janesoo,2
382,ssunitaa,2
383,cizara,2
384,goldmann,2
385,41lx,2
386,mgoltzsche,2
387,yuanzhilei,2
388,dirkthedaring,2
389,maximsidorovrep,2
390,dcommisso,2
391,vasi-grigo,2
392,nicodmt,2
393,danmanners,2
394,caugello,2
395,ehudyonasi,2
396,tristonianjones,2
397,arshchimni,2
398,raffaelespazzoli,2
399,ahmedsameha1,2
400,edvinysz,2
401,durera,2
402,ryphon,2
403,morningspace,2
404,toxsick,2
405,dianqihanwangzi,2
406,bngsudheer,2
407,aldiuser,2
408,grid-dev,2
409,mb-wali,2
410,neueryzy,2
411,wlun001,2
412,brovoca,2
413,github4sanjay,2
414,amyb12345,2
415,day0hero,2
416,kav,2
417,kiry4,2
418,pollosd,2
419,badamowicz,2
420,r2wend2,2
421,codeleongy,2
422,nova7665,2
423,daniyalsuri6,2
424,disposab1e,2
425,islishude,2
426,urbanikb,2
427,adeliyamelwin07,2
428,cyberhippo,2
429,lstocchi,2
430,krishnaraman001,2
431,emanuelelevo,2
432,manuelwallrapp,2
433,seschi98,2
434,gsouzab,2
435,jeusdi,2
436,mporrato,2
437,brutus5000,2
438,ollytheninja,2
439,tkak,2
440,natalieparellano,2
441,jfdenise,2
442,defuse,2
443,zhouhaibing089,2
444,jflinchbaugh,2
445,jdurzi,2
446,anxinyf,2
447,ezh,2
448,muxmuse,2
449,msoranno,1
450,naguait85,1
451,kimiyasharifi,1
452,joshua-beha,1
453,negz,1
454,monamorsy,1
455,ronanww,1
456,rporres,1
457,cdaf,1
458,mrbq,1
459,vieenodp,1
460,anikiej,1
461,onethefuture,1
462,dpkshetty,1
463,tightime,1
464,rkimmel-hv,1
465,gooseyard,1
466,ynqa,1
467,tarikly,1
468,naviat,1
469,arnav3000,1
470,milenvk,1
471,idv-evgenii,1
472,sravanlakkimsetti,1
473,kiaz-github,1
474,gdlxn-ibm,1
475,mgreau,1
476,prajwalborkar,1
477,bryceyang,1
478,kbristow,1
479,egaudet-casa,1
480,riceluxs1t,1
481,pittar,1
482,osherdp,1
483,chaospuppy,1
484,samip5,1
485,gabrielfreire,1
486,mattysweeps,1
487,number5,1
488,ganiredi,1
489,ornew,1
490,anandjaisy,1
491,leeonlee,1
492,psschwei,1
493,ben-pfirsich,1
494,ernestang98,1
495,joshua-seals,1
496,mansi103,1
497,tcnghia,1
498,sir-jacques,1
499,ben-galusha,1
500,trithirty,1
501,svmundada,1
502,bobdu,1
503,elfotografo007,1
504,daper,1
505,nunomaga,1
506,hussain0520,1
507,alejandro9917,1
508,satata-clgx,1
509,aaronjaegerva,1
510,olgunkaya,1
511,wangwei0326,1
512,wtpascoe,1
513,doombubbles,1
514,yhwang,1
515,randomvariable,1
516,manikanta-reddy-pasala,1
517,dakky,1
518,nalind,1
519,radiatorspring,1
520,talife,1
521,ibexmonj,1
522,288milan,1
523,averagemarcus,1
524,darthblair,1
525,1026908346,1
526,uniglot,1
527,freshprinze,1
528,sparkstar,1
529,ranbirkatal,1
530,babadofar,1
531,antoniosthanasisgit,1
532,makeittotop,1
533,dgaffuri,1
534,msathe-tech,1
535,dfuessl,1
536,4insavage,1
537,roelvdberg,1
538,akumacxd,1
539,anandrkskd,1
540,koljakrueckmeyer,1
541,sanasz91mdev,1
542,theautoroboto,1
543,ebabani,1
544,toralf,1
545,heojay,1
546,albertomurillo,1
547,azoulad,1
548,xauthulei,1
549,david972,1
550,eric79,1
551,jacobbrozenick,1
552,arslaanmalik,1
553,tosone,1
554,alequint,1
555,iancoffey,1
556,oryulin,1
557,franeksaww,1
558,ericfunktxgroup,1
559,franpilot,1
560,mvalarh,1
561,doctorpangloss,1
562,achari-sumanth,1
563,gbonnefille,1
564,flo-02-mu,1
565,errordeveloper,1
566,grigorev-lm,1
567,rahulsurwade08,1
568,prashant-juluri,1
569,siamaksade,1
570,sfzylad,1
571,vannten,1
572,edmooneysh,1
573,nschad,1
574,lostiniceland,1
575,csullivanupgrade,1
576,jfcoz,1
577,priscofarina,1
578,drissireda,1
579,kamieniarzk,1
580,jnzamith,1
581,rolfedh,1
582,edubois10,1
583,nick123pig,1
584,bluedog13,1
585,abhishakeonteddu,1
586,brunocascio,1
587,jose-hernandez2,1
588,sqlexceptionphil,1
589,mostafa-eltaher,1
590,jplimack,1
591,amouat,1
592,michkov,1
593,jayarampoojari11,1
594,dsimansk,1
595,oded-b,1
596,spuranam,1
597,deuterium,1
598,seprokof,1
599,kad-hollac1,1
600,raza-abbbasi,1
601,data-henrik,1
602,jenkinswef,1
603,junandaip,1
604,favourjuwe,1
605,huangjingfang,1
606,e-backmark-ericsson,1
607,dcshiman,1
608,cpanato,1
609,brian316,1
610,hrivera-ntap,1
611,ktarplee,1
612,priyab83,1
613,bacharacherif,1
614,skarltjr,1
615,zestyroxy,1
616,johnlongo,1
617,cesaribeiro,1
618,iabughosh,1
619,coryrc,1
620,harshad16,1
621,garyyang85,1
622,tbragi,1
623,nejtr0n,1
624,bremme,1
625,robnester-rh,1
626,gigatesseract,1
627,rusty-jules,1
628,dark0096,1
629,florianl,1
630,akihirosuda,1
631,anbrsap,1
632,sh0ffmann,1
633,alien-ike,1
634,ronnberg,1
635,mikejoh,1
636,rinckm,1
637,jlpettersson,1
638,nueb3,1
639,libratiger,1
640,gaodan-fang,1
641,hrabo,1
642,fckbo,1
643,bnallapeta,1
644,anetbnd,1
645,senza-paura,1
646,mzaikin,1
647,maartengo,1
648,cdbkr,1
649,icereed,1
650,fandujar,1
651,barthy1,1
652,aleskandro,1
653,mitchelnijdam-rockstars,1
654,wzhanw,1
655,atulag91,1
656,masseybradley,1
657,aw185176,1
658,solacelost,1
659,flouis1,1
660,obirah,1
661,nekator,1
662,cameronbraid,1
663,kscherer,1
664,simbelmas,1
665,viniagostini,1
666,davidmogar,1

